aps,Time,Cumulative Time,Distance,Avg Pace,Avg GAP,Avg HR,Max HR,Total Ascent,Total Descent,Avg Power,Avg W/kg,Max Power,Max W/kg,Avg Run Cadence,Avg Ground Contact Time,Avg GCT Balance,Avg Stride Length,Avg Vertical Oscillation,Avg Vertical Ratio,Calories,Avg Temperature,Best Pace,Max Run Cadence,Moving Time,Avg Moving Pace
,,,mi,min/mi,min/mi,bpm,bpm,ft,ft,W,,W,,spm,ms,%,m,cm,%,C,,min/mi,spm,,min/mi
2,00:43.6,10:06,0.08,8:53,,148,151,0,0,,,,,176,,,1.03,,,9,,8:49,179,0:42,8:34
3,02:01.5,12:07,0.31,6:31,,158,163,0,0,,,,,181,,,1.37,,,31,,6:02,185,02:01.5,6:31
4,02:01.3,14:08,0.2,10:03,,148,162,0,0,,,,,174,,,0.92,,,26,,6:24,185,2:01,10:02
5,02:01.7,16:10,0.3,6:44,,157,164,0,0,,,,,182,,,1.31,,,28,,6:28,187,02:01.7,6:44
6,02:00.4,18:10,0.23,8:34,,154,162,0,0,,,,,177,,,1.06,,,27,,6:36,183,2:00,8:32
7,02:00.5,20:11,0.29,6:52,,162,170,0,0,,,,,182,,,1.28,,,28,,6:05,187,02:00.5,6:52
8,02:00.0,22:11,0.26,7:42,,160,167,0,0,,,,,180,,,1.16,,,28,,6:26,185,02:00.0,7:42
9,02:01.3,24:12:00,0.28,7:18,,166,172,0,0,,,,,183,,,1.2,,,29,,6:36,187,2:01,7:17
10,02:00.5,26:13:00,0.26,7:47,,164,171,0,0,,,,,179,,,1.16,,,28,,7:02,183,2:00,7:45
11,02:01.0,28:14:00,0.29,7:03,,168,171,0,0,,,,,183,,,1.25,,,30,,6:18,187,2:01,7:03
12,04:07.7,32:21:00,0.5,8:13,,161,172,0,0,,,,,179,,,1.09,,,54,,6:58,185,04:07.7,8:13
13,05:38.9,38:00:00,0.68,8:19,,156,163,0,0,,,,,178,,,1.09,,,70,,6:54,185,05:38.9,8:19
14,01:36.7,39:37:00,0.2,8:05,,160,162,0,0,,,,,176,,,1.13,,,23,,6:35,181,01:36.7,8:05
1,09:22.0,09:22.0,1,9:22,,152,165,2,3,,,,,174,,,0.98,,,115,,6:57,183,09:22.0,9:22
Summary,39:37:00,39:37:00,4.88,8:07,,157,172,2,3,,,,,178,,,1.11,,,524,,6:02,187,39:34:00,8:06
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,